Date,Price,Volume,BS
2023-01-14 14:49:25,1537.14000,0.06742905,b
2023-01-14 14:49:25,1537.14000,2.00000000,b
2023-01-14 14:51:49,1535.97000,0.01953164,s
2023-01-14 14:52:22,1533.27000,0.10870532,s
2023-01-14 14:53:15,1528.13000,0.03200000,s
2023-01-14 14:53:15,1528.13000,0.00006359,s
2023-01-14 14:53:16,1527.91000,0.01960247,b
2023-01-14 15:00:18,1529.96000,0.14041179,b
2023-01-14 15:00:37,1530.03000,0.04600000,b
2023-01-14 15:01:24,1528.80000,0.11677402,s
2023-01-14 15:01:24,1528.28000,4.48525000,s
2023-01-14 15:01:24,1528.23000,9.21629685,s
2023-01-14 15:02:09,1528.16000,0.03330359,b
2023-01-14 15:07:41,1528.33000,0.03271545,b
2023-01-14 15:12:01,1527.81000,0.00423000,s
2023-01-14 15:16:41,1528.71000,0.45000000,b
2023-01-14 15:21:29,1530.92000,0.01847856,b
2023-01-14 15:22:53,1530.90000,0.02359826,s
2023-01-14 15:22:53,1530.81000,0.01531012,s
2023-01-14 15:25:59,1532.04000,0.05633055,b
2023-01-14 15:26:27,1532.66000,0.03000000,b
2023-01-14 15:27:00,1532.22000,0.67000000,s
2023-01-14 15:27:00,1532.16000,0.01500000,s
2023-01-14 15:27:00,1532.15000,1.64123137,s
2023-01-14 15:27:00,1532.08000,2.31054572,s
2023-01-14 15:28:26,1531.54000,0.16819800,s
2023-01-14 15:36:15,1533.16000,0.03712488,b
2023-01-14 15:40:16,1535.02000,0.01000000,b
2023-01-14 15:48:51,1535.29000,0.25000000,b
2023-01-14 15:48:51,1535.30000,0.16958123,b
2023-01-14 15:51:05,1534.77000,0.25000000,b
2023-01-14 15:51:05,1534.77000,0.17827916,b
2023-01-14 15:51:38,1534.84000,0.59886814,s
2023-01-14 15:52:48,1534.43000,0.01559854,b
2023-01-14 15:53:32,1533.79000,0.28672010,b
2023-01-14 15:53:34,1533.80000,0.28692180,b
2023-01-14 15:57:41,1535.88000,2.10000000,b
2023-01-14 15:57:41,1535.91000,16.43805521,b
2023-01-14 16:01:12,1534.97000,0.25000000,s
2023-01-14 16:01:12,1534.97000,0.05100000,s
2023-01-14 16:01:13,1534.98000,0.25000000,s
2023-01-14 16:01:13,1534.97000,0.04700000,s
2023-01-14 16:01:30,1534.72000,0.21900000,s
2023-01-14 16:01:33,1534.72000,0.21800000,s
2023-01-14 16:05:58,1533.85000,0.25000000,s
2023-01-14 16:05:58,1533.84000,0.67000000,s
2023-01-14 16:05:58,1533.82000,5.00000000,s
2023-01-14 16:05:58,1533.81000,1.40000000,s
2023-01-14 16:06:25,1534.00000,0.12000000,b
2023-01-14 16:06:42,1535.91000,0.01000000,b
2023-01-14 16:06:42,1535.91000,8.55194479,b
2023-01-14 16:10:37,1536.37000,0.12115315,s
2023-01-14 16:12:01,1536.99000,0.25000000,b
2023-01-14 16:12:01,1537.00000,0.05000000,b
2023-01-14 16:13:30,1537.32000,0.17777614,s
2023-01-14 16:16:29,1536.01000,0.17789270,s
2023-01-14 16:19:02,1536.69000,0.06806544,s
2023-01-14 16:19:42,1537.60000,0.24602900,b
2023-01-14 16:22:19,1535.38000,0.21507584,b
2023-01-14 16:25:12,1534.50000,0.09600000,b
2023-01-14 16:27:28,1534.54000,0.12133032,b
2023-01-14 16:30:45,1534.00000,0.12000000,b
2023-01-14 16:30:45,1534.04000,1.24150000,b
2023-01-14 16:30:45,1534.04000,1.36150000,b
2023-01-14 16:30:45,1534.78000,3.06196708,b
2023-01-14 16:30:53,1535.58000,1.00000000,b
2023-01-14 16:30:53,1535.58000,0.70259128,b
2023-01-14 16:30:53,1535.58000,0.39740872,b
2023-01-14 16:37:23,1536.07000,2.10000000,b
2023-01-14 16:37:23,1536.09000,2.10000000,b
2023-01-14 16:37:23,1536.09000,2.10000000,b
2023-01-14 16:37:23,1536.23000,0.20900000,b
2023-01-14 16:37:23,1536.23000,0.32068214,b
2023-01-14 16:37:23,1536.33000,2.10797994,b
2023-01-14 16:38:20,1537.66000,0.09678000,s
2023-01-14 16:40:00,1538.61000,0.01368287,b
2023-01-14 16:40:00,1538.78000,0.01551824,b
2023-01-14 16:40:00,1539.80000,0.17644556,b
2023-01-14 16:40:00,1540.21000,0.03251091,b
2023-01-14 16:40:02,1540.20000,0.29241996,s
2023-01-14 16:40:11,1538.49000,0.01000000,s
2023-01-14 16:40:12,1538.49000,0.01000000,s
2023-01-14 16:40:13,1538.50000,0.21056233,s
2023-01-14 16:40:14,1538.42000,0.01000000,s
2023-01-14 16:51:09,1538.69000,0.09600000,b
2023-01-14 16:58:59,1538.90000,0.15000000,b
2023-01-14 17:00:57,1538.63000,0.06502331,b
2023-01-14 17:04:07,1539.01000,0.08822278,b
2023-01-14 17:04:07,1539.35000,0.06015340,b
2023-01-14 17:05:29,1540.31000,0.03908468,b
2023-01-14 17:13:23,1539.40000,0.01000000,b
2023-01-14 17:14:23,1539.40000,0.01000000,b
2023-01-14 17:14:51,1539.40000,15.19277090,b
2023-01-14 17:14:51,1539.40000,11.25404552,b
2023-01-14 17:14:51,1539.40000,3.07798299,b
2023-01-14 17:14:51,1539.40000,0.45520059,b
2023-01-14 17:15:57,1540.67000,0.02313372,b
2023-01-14 17:16:12,1540.82000,0.02901761,b
2023-01-14 17:16:12,1540.87000,0.01488148,b
2023-01-14 17:16:12,1541.01000,0.67000000,b
2023-01-14 17:16:12,1541.14000,0.25000000,b
2023-01-14 17:16:12,1541.22000,0.03610091,b
2023-01-14 17:21:02,1539.98000,0.00066746,b
2023-01-14 17:22:31,1539.44000,0.01448062,s
2023-01-14 17:28:04,1539.50000,0.25000000,b
2023-01-14 17:28:04,1539.51000,1.75000000,b
2023-01-14 17:28:23,1539.16000,0.25000000,b
2023-01-14 17:28:23,1539.17000,0.07656495,b
2023-01-14 17:36:48,1541.48000,0.14731360,b
2023-01-14 17:36:48,1541.78000,0.01365477,b
2023-01-14 17:36:49,1542.26000,0.01548322,b
2023-01-14 17:36:49,1542.32000,0.01960247,b
2023-01-14 17:36:49,1542.37000,0.03860124,b
2023-01-14 17:36:49,1543.24000,0.01636158,b
2023-01-14 17:36:49,1543.55000,0.03243772,b
2023-01-14 17:36:49,1544.28000,0.01328479,b
2023-01-14 17:36:50,1544.95000,0.01362669,b
2023-01-14 17:36:50,1545.75000,0.01543281,b
2023-01-14 17:36:50,1547.27000,6.66645123,b
2023-01-14 17:36:51,1547.36000,0.12431098,b
2023-01-14 17:36:51,1547.44000,0.02619665,b
2023-01-14 17:36:51,1548.14000,0.01359864,b
2023-01-14 17:36:51,1548.27000,0.03452328,b
2023-01-14 17:36:51,1548.51000,0.25840317,b
2023-01-14 17:36:51,1548.68000,0.03743092,b
2023-01-14 17:36:51,1548.76000,0.04000000,b
2023-01-14 17:36:51,1549.15000,0.02300720,b
2023-01-14 17:36:51,1549.24000,0.01539805,b
2023-01-14 17:36:51,1549.29000,0.07552821,b
2023-01-14 17:36:51,1549.52000,0.02041494,b
2023-01-14 17:36:51,1549.52000,0.01000000,b
2023-01-14 17:36:51,1549.52000,0.05287798,b
2023-01-14 17:36:51,1550.00000,0.32580645,b
2023-01-14 17:36:51,1550.00000,0.05509570,b
2023-01-14 17:36:51,1550.00000,1.08929854,b
2023-01-14 17:36:51,1550.36000,0.02883908,b
2023-01-14 17:36:51,1550.60000,0.02617956,b
2023-01-14 17:36:51,1551.33000,0.01357071,b
2023-01-14 17:36:52,1551.99000,0.12978000,b
2023-01-14 17:36:52,1551.99000,0.00000610,b
2023-01-14 17:36:52,1552.23000,0.01327390,b
2023-01-14 17:36:52,1552.23000,0.00001089,b
2023-01-14 17:36:52,1552.75000,0.01536325,b
2023-01-14 17:36:52,1552.84000,0.02840675,b
2023-01-14 17:36:52,1552.84000,0.01537091,b
2023-01-14 17:36:52,1554.52000,0.01354280,b
2023-01-14 17:36:53,1555.58000,0.04377766,b
2023-01-14 17:36:53,1555.36000,0.01167331,b
2023-01-14 17:36:53,1555.66000,0.15132801,b
2023-01-14 17:36:53,1555.66000,0.01167331,b
2023-01-14 17:36:53,1556.21000,0.00762669,b
2023-01-14 17:36:59,1549.95000,0.51604247,s
2023-01-14 17:36:59,1549.95000,0.48395753,s
2023-01-14 17:36:59,1555.20000,0.38990102,b
2023-01-14 17:36:59,1556.21000,0.01532000,b
2023-01-14 17:36:59,1556.21000,0.05705331,b
2023-01-14 17:36:59,1556.26000,0.01532861,b
2023-01-14 17:36:59,1557.66000,0.02288145,b
2023-01-14 17:36:59,1557.72000,0.01351501,b
2023-01-14 17:37:00,1557.23000,0.07135114,s
2023-01-14 17:37:00,1557.21000,0.67000000,b
2023-01-14 17:37:01,1556.84000,0.01953164,s
2023-01-14 17:37:01,1556.84000,0.50000000,s
2023-01-14 17:37:04,1552.66000,0.01000000,s
2023-01-14 17:37:05,1552.90000,0.01000000,s
2023-01-14 17:37:06,1556.45000,0.01317484,s
2023-01-14 17:37:10,1554.20000,0.20778546,s
2023-01-14 17:37:14,1555.42000,0.01879960,s
2023-01-14 17:37:18,1554.51000,0.01607283,b
2023-01-14 17:37:20,1552.91000,0.03216550,s
2023-01-14 17:37:25,1550.75000,0.01000000,s
2023-01-14 17:37:25,1550.75000,0.02224247,s
2023-01-14 17:37:27,1550.59000,0.02256888,s
2023-01-14 17:37:28,1550.59000,0.01569500,s
