date,price,returns,ma,std,bollup,bolldown,shift,position,strategy,creturns,cstrategy
2021-09-08,3497.315185546875,0.020487104285756428,3489.325609484613,302.641088770721,4094.607787026055,2884.0434319431706,3426.394287109375,1,-0.020487104285756428,7.821976226657632,211.7096856138293
2021-09-09,3427.340087890625,-0.02021110853351262,3483.4222264756613,299.9947100757988,4083.411646627259,2883.4328063240637,3497.315185546875,-1,-0.02021110853351262,7.665472302565458,207.4737488624538
2021-09-10,3211.505859375,-0.06504453354220181,3457.525429608932,300.63188925615316,4058.7892081212385,2856.2616510966254,3427.340087890625,-1,0.06504453354220181,7.18274480596317,221.41734370044887
2021-09-11,3270.278076171875,0.018135077666313993,3439.692348329212,299.5831691233884,4038.858686575989,2840.5260100824353,3211.505859375,-1,-0.018135077666313993,7.314192747650829,217.43811385410376
2021-09-12,3410.134521484375,0.04187671975472418,3436.8773172011324,297.87301068446686,4032.623338570066,2841.1312958321987,3270.278076171875,-1,-0.04187671975472418,7.626990917772908,208.5205413983835
2021-09-13,3285.51171875,-0.037229325474852665,3422.4615459200727,292.8848082736116,4008.2311624672957,2836.6919293728497,3410.134521484375,-1,0.037229325474852665,7.348263794659669,216.42993771812706
2021-09-14,3429.169677734375,0.04279574125220146,3423.1004156166728,287.04583367138815,3997.192082959449,2849.0087482738963,3285.51171875,1,-0.04279574125220146,7.669564300999427,207.3630538839495
2021-09-15,3615.28271484375,0.05285190318499516,3441.403491733537,273.04027882250443,3987.484049378546,2895.322934088528,3429.169677734375,1,0.05285190318499516,8.085818391496263,218.6173723836146
2021-09-16,3571.294921875,-0.012241805357654444,3453.774104127962,267.0650478247389,3987.9041997774398,2919.644008478484,3615.28271484375,1,-0.012241805357654444,7.98743678943574,215.95741561832511
2021-09-17,3398.538818359375,-0.04958267329461904,3448.5136007214296,260.52058343099304,3969.554767583416,2927.4724338594433,3571.294921875,-1,-0.04958267329461904,7.6010563624460215,205.51079542490268
2021-09-18,3432.018310546875,0.00980293690936187,3446.942620704805,251.51178792899927,3949.9661965628034,2943.9190448468066,3398.538818359375,-1,-0.00980293690936187,7.675935456287328,203.5060284198051
2021-09-19,3329.447998046875,-0.030341992953112053,3435.7526566421448,245.4109556939633,3926.5745680300715,2944.930745254218,3432.018310546875,-1,0.030341992953112053,7.446530182993269,209.77543912779572
2021-09-20,2958.993408203125,-0.11795737819471988,3390.347013933667,278.365458695884,3947.0779313254347,2833.616096541899,3329.447998046875,-1,0.11795737819471988,6.6179840437178905,236.03851698594187
2021-09-21,2764.43115234375,-0.06801426341716456,3330.735979496532,316.887256103415,3964.510491703362,2696.961467289702,2958.993408203125,-1,0.06801426341716456,6.182832717859069,252.65104368806303
2021-09-22,3077.867919921875,0.10740224120202764,3306.653307156088,319.7316806541987,3946.1166684644854,2667.1899458476905,2764.43115234375,-1,-0.10740224120202764,6.883854734601646,226.92215326159007
2021-09-23,3155.523681640625,0.02491734340194673,3292.260009487949,302.87818684132924,3898.0163831706077,2686.5036358052903,3077.867919921875,-1,-0.02491734340194673,7.057536970774497,221.33771960168312
2021-09-24,2931.669189453125,-0.0735825168405753,3257.91802662749,297.4827774722709,3852.8835815720317,2662.952471682948,3155.523681640625,-1,0.0735825168405753,6.556871625152427,238.23848146172674
2021-09-25,2925.565673828125,-0.0020840953032145396,3226.2654215989787,276.6176604339219,3779.5007424668224,2673.030100731135,2931.669189453125,-1,0.0020840953032145396,6.543220709640127,238.73551091045383
2021-09-26,3062.265380859375,0.045667107856888885,3210.6463700999693,238.63870463215773,3687.9237793642847,2733.368960835654,2925.565673828125,-1,-0.045667107856888885,6.848958626259243,228.07834363703608
2021-09-27,2934.138916015625,-0.042740937032609935,3184.312326853841,245.74755007347255,3675.8074270007864,2692.817226706896,3062.265380859375,-1,0.042740937032609935,6.562395331605323,238.03795111101152
2021-09-28,2807.296630859375,-0.04419205837126463,3148.406070092464,255.1523955412299,3658.7108611749236,2638.101279010004,2934.138916015625,-1,0.04419205837126463,6.2787041895751905,248.79323694042168
2021-09-29,2853.143310546875,0.016199335296305763,3120.285807278598,260.46456835399687,3641.2149439865916,2599.3566705706044,2807.296630859375,-1,-0.016199335296305763,6.38124331446414,244.79542028667726
2021-09-30,3001.678955078125,0.050750481317291936,3108.9899165928387,262.96959260099305,3634.929101794825,2583.0507313908524,2853.143310546875,-1,-0.050750481317291936,6.713453086444709,232.6819177853302
2021-10-01,3307.51611328125,0.09702570492125512,3127.8971734203064,263.9163019441415,3655.7297773085893,2600.0645695320236,3001.678955078125,1,-0.09702570492125512,7.397478075264611,211.16644391810817
2021-10-02,3391.6943359375,0.02513211190777341,3153.0207127076583,263.03665997720174,3679.0940326620616,2626.947392753255,3307.51611328125,1,0.02513211190777341,7.5857482257905255,216.54075361906143
2021-10-03,3418.358642578125,0.007830906157729635,3178.2909917429406,267.9603214170581,3714.211634577057,2642.3703489088243,3391.6943359375,1,0.007830906157729635,7.645384707370799,218.24312077918898
2021-10-04,3380.089111328125,-0.011258433355315508,3197.509860274863,265.6603119325001,3728.830484139863,2666.189236409863,3418.358642578125,1,-0.011258433355315508,7.559792375035439,215.79982479885328
2021-10-05,3518.5185546875,0.04013796243015964,3228.0821168855905,257.80939677077095,3743.7009104271324,2712.4633233440486,3380.089111328125,1,0.04013796243015964,7.869398961110741,224.6377721546902
2021-10-06,3580.56201171875,0.01747973872931597,3261.6516306792255,258.5927537685608,3778.837138216347,2744.466123142104,3518.5185546875,1,0.01747973872931597,8.008163247476372,228.59890060908108
2021-10-07,3587.974853515625,0.0020681610706543684,3292.730032854121,270.9093895699762,3834.5488119940733,2750.9112537141687,3580.56201171875,1,0.0020681610706543684,8.024742557384371,229.07216918524546
2021-10-08,3563.75927734375,-0.006771971181186702,3318.542341853133,279.0702580950746,3876.6828580432825,2760.401825662984,3587.974853515625,1,-0.006771971181186702,7.970582823107632,227.5261397986887
2021-10-09,3575.716796875,0.003349694175783596,3343.0351470933106,291.29183991853614,3925.618826930383,2760.451467256238,3563.75927734375,1,0.003349694175783596,7.997326604706089,228.28956068342944
2021-10-10,3425.852783203125,-0.042815230151979806,3350.9225410085314,290.5243417434487,3931.971224495429,2769.873857521634,3575.716796875,1,-0.042815230151979806,7.6621458474734245,218.72157983178369
2021-10-11,3545.35400390625,0.034287586538183354,3369.439823189266,279.2992798254099,3928.038382840086,2810.841263538446,3425.852783203125,1,0.034287586538183354,7.929418214361983,226.3510658132496
2021-10-12,3492.5732421875,-0.014999231849763954,3381.1668154748118,281.0618600092258,3943.2905354932636,2819.04309545636,3545.35400390625,1,-0.014999231849763954,7.811370557377821,222.98130875758997
2021-10-13,3606.20166015625,0.032016263514870025,3402.5987054444727,289.10210158312736,3980.802908610727,2824.394502278218,3492.5732421875,1,0.032016263514870025,8.065508013360445,230.23584906176325
2021-10-14,3786.01416015625,0.048658746194800685,3439.11446303607,295.5603528882629,4030.235168812596,2847.993757259544,3606.20166015625,1,0.048658746194800685,8.467670536792241,241.71587361691374
2021-10-15,3862.634765625,0.020035739475399373,3479.4497299493014,300.9280924263965,4081.3059148020943,2877.5935450965085,3786.01416015625,1,0.020035739475399373,8.639037577694204,246.60767164103186
2021-10-16,3830.382080078125,-0.008384974363497505,3512.871858532999,306.5255911158702,4125.923040764739,2899.8206763012586,3862.634765625,1,-0.008384974363497505,8.56690231787087,244.54851767761056
2021-10-17,3847.1044921875,0.004356227365992981,3544.703537928666,297.6700126073249,4140.043563143316,2949.363512714016,3830.382080078125,1,0.004356227365992981,8.60430309619147,245.6161503596376
2021-10-18,3748.76025390625,-0.025895599030286126,3564.137510878912,259.49441495708044,4083.126340793073,3045.1486809647513,3847.1044921875,1,-0.025895599030286126,8.384349716798129,239.33741962441997
2021-10-19,3877.65087890625,0.03380434033523954,3593.9959268815155,219.80167899006798,4033.5992848616515,3154.3925689013795,3748.76025390625,1,0.03380434033523954,8.672622106074188,247.56636666608122
2021-10-20,4155.9921875,0.06932166672355176,3647.519380273752,214.92660573009496,4077.372591733942,3217.6661688135623,3877.65087890625,1,0.06932166672355176,9.29515081258442,265.33690574077826
2021-10-21,4054.32275390625,-0.02476753487036384,3686.2625587149423,221.61002637624028,4129.482611467423,3243.0425059624617,4155.9921875,1,-0.02476753487036384,9.067760414419977,258.8458798434436
2021-10-22,3970.181884765625,-0.020971750100473262,3713.3024945292927,222.158912328269,4157.62031918583,3268.9846698727547,4054.32275390625,1,-0.020971750100473262,8.879573807496998,253.47395495598528
2021-10-23,4171.66357421875,0.049502986465353095,3756.9559306901933,236.80603155385174,4230.567993797897,3283.34386758249,3970.181884765625,1,0.049502986465353095,9.330200903253802,266.3374363175986
2021-10-24,4087.903076171875,-0.020282751648381038,3788.4747064503536,234.78934998945482,4258.053406429263,3318.896006471444,4171.66357421875,1,-0.020282751648381038,9.142865021385546,260.98979600154854
2021-10-25,4217.876953125,0.031299766509272686,3829.370158514606,247.94361982151216,4325.257398157631,3333.4829188715817,4087.903076171875,1,0.031299766509272686,9.433560175146729,269.287902634569
2021-10-26,4131.10205078125,-0.020787698018054492,3858.1065292066673,252.87813617043423,4363.862801547536,3352.3502568657987,4217.876953125,1,-0.020787698018054492,9.239482379125262,263.7478094281621
2021-10-27,3930.25732421875,-0.04983931112215124,3864.9780334935326,247.37616335101563,4359.730360195564,3370.2257067915016,4131.10205078125,1,-0.04983931112215124,8.790279892911322,250.92499459209677
2021-10-28,4287.31884765625,0.0869566596858413,3905.200968175696,256.9486746385149,4419.0983174527255,3391.303618898666,3930.25732421875,1,0.0869566596858413,9.58887155525975,273.721380031162
2021-10-29,4414.74658203125,0.0292888727711617,3953.729121876225,272.6274508412672,4498.984023558759,3408.4742201936906,4287.31884765625,1,0.0292888727711617,9.873872093105822,281.85692967110464
2021-10-30,4325.650390625,-0.02038792468183558,3989.150195090394,260.3770809475986,4509.904356985591,3468.3960331951967,4414.74658203125,1,-0.02038792468183558,9.674602580896718,276.1686351136399
2021-10-31,4288.07421875,-0.008724776317407503,4017.6191497246423,249.79736559951766,4517.213880923678,3518.024418525607,4325.650390625,1,-0.008724776317407503,9.590560992563553,273.76960625961937
2021-11-01,4324.626953125,0.008488150955212685,4046.8579881437245,228.45832718226902,4503.774642508262,3589.9413337791866,4288.07421875,1,0.008488150955212685,9.672313595383613,276.103294341276
2021-11-02,4584.798828125,0.05842034560426265,4098.090449094322,234.0512899913361,4566.193029076994,3629.98786911165,4324.626953125,1,0.05842034560426265,10.254205164523588,292.7138164882877
2021-11-03,4607.19384765625,0.004872733178223109,4146.576487052601,248.59762951001107,4643.7717460726235,3649.3812280325787,4584.798828125,1,0.004872733178223109,10.30429310372132,294.1436134942345
2021-11-04,4537.32421875,-0.015281502662407579,4183.790556738068,255.25072762118862,4694.292011980445,3673.2891014956904,4607.19384765625,1,-0.015281502662407579,10.148025067449199,289.6828276450694
2021-11-05,4486.2431640625,-0.011321819445762802,4212.595566959442,251.47261716349806,4715.540801286438,3709.6503326324464,4537.32421875,1,-0.011321819445762802,10.0337789174169,286.4215873969472
2021-11-06,4521.5810546875,0.00784608381626105,4242.022756266876,246.48831846554643,4734.999393197969,3749.0461193357833,4486.2431640625,1,0.00784608381626105,10.11281444201339,288.67771448545454
2021-11-07,4620.5546875,0.021653036574546432,4278.073416384316,232.4431791456751,4742.959774675666,3813.1870580929663,4521.5810546875,1,0.021653036574546432,10.334175503814363,294.9966285487147
2021-11-08,4812.08740234375,0.04061620124436954,4328.931891237596,241.11601199278743,4811.163915223171,3846.699867252021,4620.5546875,1,0.04061620124436954,10.7625510612495,307.2249234087544
2021-11-09,4735.06884765625,-0.016134694668512174,4367.611601372706,253.99127084198045,4875.594143056667,3859.629059688745,4812.08740234375,1,-0.016134694668512174,10.590293980656133,302.30771854805397
2021-11-10,4636.17431640625,-0.021106741316112072,4393.189002804472,250.9922772089429,4895.173557222358,3891.204448386586,4735.06884765625,1,-0.021106741316112072,10.3691098347202,295.99385467807775
2021-11-11,4730.38427734375,0.02011691639529473,4425.3028384748795,242.3561794225354,4910.01519731995,3940.5904796298087,4636.17431640625,1,0.02011691639529473,10.579816629982131,302.00863487913307
2021-11-12,4667.115234375,-0.01346528379168726,4448.332590465367,240.67959433512033,4929.691779135607,3966.973401795126,4730.38427734375,1,-0.01346528379168726,10.438311239781633,297.96925960287524
2021-11-13,4651.46044921875,-0.0033599125907330814,4467.678100822832,229.09863806471682,4925.8753769522655,4009.480824693398,4667.115234375,1,-0.0033599125907330814,10.403298279602447,296.9697889431638
2021-11-14,4626.35888671875,-0.005411104234516528,4482.790556622443,223.05276080201253,4928.896078226468,4036.6850350184177,4651.46044921875,1,-0.005411104234516528,10.347156978429942,295.36719427442466
2021-11-15,4557.50390625,-0.014995056480306117,4489.9061137298295,206.08117128936314,4902.068456308556,4077.7437711511034,4626.35888671875,1,-0.014995056480306117,10.193158270352587,290.9711880650361
2021-11-16,4216.365234375,-0.07780164664278183,4463.854601410322,169.9553382233568,4803.7652778570355,4123.943924963609,4557.50390625,-1,-0.07780164664278183,9.430179116392644,269.19138782958845
2021-11-17,4287.59375,0.01675224011100887,4447.067853656958,169.93455788632244,4786.936969429603,4107.198737884312,4216.365234375,-1,-0.01675224011100887,9.589486392494422,264.7193916256255
2021-11-18,4000.65087890625,-0.06926861053318167,4404.551951299747,206.25871833959587,4817.069387978939,3992.0345146205555,4287.59375,-1,0.06926861053318167,8.947719723771012,283.70613767431206
2021-11-19,4298.306640625,0.0717640730233107,4394.433350283105,207.63687954080697,4809.707109364719,3979.159591201491,4000.65087890625,-1,-0.0717640730233107,9.61344647940161,264.0596178761217
2021-11-20,4409.93115234375,0.02563793699111015,4395.909331431738,202.52316590316607,4800.95566323807,3990.862999625406,4298.306640625,1,-0.02563793699111015,9.863102066803235,257.375720805666
2021-11-21,4269.73291015625,-0.03230780265397009,4383.892529405502,205.5957406560589,4795.084010717619,3972.7010480933836,4409.93115234375,-1,-0.03230780265397009,9.549539445412467,249.19336548260884
2021-11-22,4088.457763671875,-0.04338345092224233,4355.755885049918,225.4479365460918,4806.651758142101,3904.8600119577345,4269.73291015625,-1,0.04338345092224233,9.144105616587304,260.2421683422535
2021-11-23,4340.763671875,0.059882469847224416,4354.328055223736,225.9055627122707,4806.139180648277,3902.5169297991943,4088.457763671875,-1,-0.059882469847224416,9.708404431851646,245.11565107484824
2021-11-24,4239.9814453125,-0.023491400765718547,4343.437901898857,231.28626112217668,4806.01042414321,3880.865379654503,4340.763671875,-1,0.023491400765718547,9.482998330766069,250.94192682611373
2021-11-25,4274.7431640625,0.008165128873313079,4336.895545914442,234.82246515597632,4806.540476226394,3867.2506156024892,4239.9814453125,-1,-0.008165128873313079,9.560745208938197,248.9012959979865
2021-11-26,4030.908935546875,-0.05873212915499167,4307.753963974673,251.87932330214622,4811.512610578965,3803.9953173703802,4274.7431640625,-1,0.05873212915499167,9.015393864404924,263.9576161621567
2021-11-27,4096.912109375,0.01624165305284872,4287.6737873461325,257.6006659555232,4802.875119257179,3772.472455435086,4030.908935546875,-1,-0.01624165305284872,9.163014318718313,259.7051352795569
2021-11-28,4294.45361328125,0.04709078684110003,4288.3194850542395,239.20963778619983,4766.738760626639,3809.9002094818397,4096.912109375,1,-0.04709078684110003,9.604828929456998,247.75890239054897
2021-11-29,4445.10498046875,0.034479153599218576,4303.251436998479,224.41717088214918,4752.085778762777,3854.417095234181,4294.45361328125,1,0.034479153599218576,9.941770654790748,256.4503962892319
2021-11-30,4631.47900390625,0.04107277003664529,4334.511205275409,224.11326334306935,4782.737731961548,3886.2846785892707,4445.10498046875,1,0.04107277003664529,10.358608458434889,267.2028289941002
2021-12-01,4586.990234375,-0.00965216974274941,4358.556827094418,213.61808395594687,4785.792995006312,3931.3206591825237,4631.47900390625,1,-0.00965216974274941,10.259106389229114,264.63614887589375
